k,weights,mean_MAE,mean_MSE,mean_RMSE
3,"(0.25, 0.25, 0.5)",1.0163895992506133,1.7379627647173765,1.317917850092154
5,"(0.25, 0.25, 0.5)",1.005940916433984,1.5979737331649617,1.263972848602179
10,"(0.25, 0.25, 0.5)",1.0263408136965875,1.5609477841205606,1.2491839089914734
3,"(0.2, 0.2, 0.6)",1.0102349893649039,1.7183389632201433,1.3104706892249467
5,"(0.2, 0.2, 0.6)",1.0026664678448034,1.583269557859048,1.258159112545972
10,"(0.2, 0.2, 0.6)",1.0235962706540307,1.550354042237105,1.2449799202467744
3,"(0.4, 0.2, 0.4)",1.0193617294596173,1.7537034146463473,1.323853101259346
5,"(0.4, 0.2, 0.4)",1.007208207814485,1.6166763672804538,1.2713217408386603
10,"(0.4, 0.2, 0.4)",1.0218587180674719,1.5630186478683963,1.2499928501920017
3,"(0.33, 0.33, 0.34)",1.020543798966247,1.7504122777377227,1.3226312420968798
5,"(0.33, 0.33, 0.34)",1.0115362823595073,1.6172562532402768,1.2715813493275345
10,"(0.33, 0.33, 0.34)",1.0329259165048166,1.5809574246753093,1.2571949751075406
