model,k,weights,mean_MAE,mean_MSE,mean_RMSE
content_based,1.0,"(0.0, 0.0, 1.0)",1.184823925673783,2.7483293988521718,1.6575669480186022
content_based,2.0,"(0.0, 0.0, 1.0)",1.0935314717560969,2.0299558398101665,1.4245305723507031
content_based,3.0,"(0.0, 0.0, 1.0)",1.0729231067528295,1.8606975894109457,1.3639082879292013
content_based,4.0,"(0.0, 0.0, 1.0)",1.0593178490552873,1.7649287890545118,1.3283173725061368
content_based,5.0,"(0.0, 0.0, 1.0)",1.054749089413759,1.7069644144533167,1.306393396776904
content_based,6.0,"(0.0, 0.0, 1.0)",1.0466491222494934,1.656910329150317,1.2870969888592252
content_based,7.0,"(0.0, 0.0, 1.0)",1.0431292140877662,1.6318895513678247,1.2773485631621182
content_based,8.0,"(0.0, 0.0, 1.0)",1.0437021055524738,1.6201551053510606,1.2727417662057743
content_based,9.0,"(0.0, 0.0, 1.0)",1.0474234112160314,1.620286400634234,1.272809297032231
content_based,10.0,"(0.0, 0.0, 1.0)",1.0509845110683176,1.6219199266874376,1.2734759566456482
content_based,15.0,"(0.0, 0.0, 1.0)",1.0624244201447595,1.6345458210887223,1.2784319909390534
content_based,20.0,"(0.0, 0.0, 1.0)",1.0699382978168215,1.6449778165489692,1.2824924489635545
content_based,25.0,"(0.0, 0.0, 1.0)",1.07494647191756,1.6534552902068789,1.2857920106523997
content_based,30.0,"(0.0, 0.0, 1.0)",1.0771673769600862,1.6580978854544093,1.2875890102062533
content_based,36.0,"(0.0, 0.0, 1.0)",1.0772369865151232,1.6583193582239737,1.287674887103154
content_based,1.0,"(0.0, 0.1, 0.9)",1.1702944993862912,2.698495266377421,1.6425627725269565
content_based,2.0,"(0.0, 0.1, 0.9)",1.0854249674727316,2.006511460677209,1.4163468533778145
content_based,3.0,"(0.0, 0.1, 0.9)",1.062752810731601,1.830644299616941,1.3528011021829152
content_based,4.0,"(0.0, 0.1, 0.9)",1.0457587189275823,1.724518579968373,1.312986480346796
content_based,5.0,"(0.0, 0.1, 0.9)",1.0389735378971992,1.6687251982424929,1.2916307179797126
content_based,6.0,"(0.0, 0.1, 0.9)",1.0379853255792713,1.6346568655051263,1.2783583731628847
content_based,7.0,"(0.0, 0.1, 0.9)",1.0375036412427947,1.6132849395636213,1.2700036362081846
content_based,8.0,"(0.0, 0.1, 0.9)",1.0411825716111183,1.612817902277142,1.2698598445894889
content_based,9.0,"(0.0, 0.1, 0.9)",1.0424040742462881,1.6072370881637155,1.2676587075311958
content_based,10.0,"(0.0, 0.1, 0.9)",1.0451985821036138,1.6058699542926362,1.267131234954599
content_based,15.0,"(0.0, 0.1, 0.9)",1.0560191859880856,1.6094045806159936,1.2685349771112566
content_based,20.0,"(0.0, 0.1, 0.9)",1.0678255311004026,1.6296906223481038,1.2765086498211562
content_based,25.0,"(0.0, 0.1, 0.9)",1.0787521517759913,1.6518024321734095,1.2851272345669962
content_based,30.0,"(0.0, 0.1, 0.9)",1.0852014173716953,1.6651730398633404,1.2903222233495664
content_based,36.0,"(0.0, 0.1, 0.9)",1.0855557850621864,1.6661241023576991,1.2906919779852661
content_based,1.0,"(0.0, 0.2, 0.8)",1.1470169025333572,2.6089805824733476,1.6150547721688209
content_based,2.0,"(0.0, 0.2, 0.8)",1.079346956523927,1.9980506113891003,1.413298742129773
content_based,3.0,"(0.0, 0.2, 0.8)",1.0489510505863104,1.7874879720167047,1.3367475988773605
content_based,4.0,"(0.0, 0.2, 0.8)",1.0329909813255487,1.6837571743273443,1.297417425388285
content_based,5.0,"(0.0, 0.2, 0.8)",1.0301481009532882,1.6416098530602763,1.281075868767887
content_based,6.0,"(0.0, 0.2, 0.8)",1.030498223785673,1.6160679706221248,1.271058088308054
content_based,7.0,"(0.0, 0.2, 0.8)",1.0304474662013068,1.597676056673962,1.2638452917660754
content_based,8.0,"(0.0, 0.2, 0.8)",1.0334332363280492,1.5931929826585594,1.262056501716339
content_based,9.0,"(0.0, 0.2, 0.8)",1.035169480814249,1.5853344343077398,1.2589411182559107
content_based,10.0,"(0.0, 0.2, 0.8)",1.0377014653533947,1.5849868933094586,1.2588131151216666
content_based,15.0,"(0.0, 0.2, 0.8)",1.0541221960151586,1.6103759736636067,1.2688980595758261
content_based,20.0,"(0.0, 0.2, 0.8)",1.0692276631572821,1.6367232660552637,1.2792474609828637
content_based,25.0,"(0.0, 0.2, 0.8)",1.0806218745635956,1.6568217098925957,1.2870765443016796
content_based,30.0,"(0.0, 0.2, 0.8)",1.089165619445943,1.6754993202197614,1.2943139772676548
content_based,36.0,"(0.0, 0.2, 0.8)",1.0898166711038917,1.6769592640091076,1.2948786992282777
content_based,1.0,"(0.0, 0.3, 0.7)",1.138109182920339,2.5744402801912107,1.6044674057966564
content_based,2.0,"(0.0, 0.3, 0.7)",1.073307826017044,1.9965834630535937,1.4127460465114892
content_based,3.0,"(0.0, 0.3, 0.7)",1.0433366589695976,1.7768201826859393,1.3328232446648323
content_based,4.0,"(0.0, 0.3, 0.7)",1.0375440626258905,1.6988351075430976,1.303240788860005
content_based,5.0,"(0.0, 0.3, 0.7)",1.0373981560780021,1.6598186542106075,1.2881805777642958
content_based,6.0,"(0.0, 0.3, 0.7)",1.0352124897789476,1.6259279439934464,1.274965967895354
content_based,7.0,"(0.0, 0.3, 0.7)",1.0334489266237659,1.6093537486262524,1.2684369034990108
content_based,8.0,"(0.0, 0.3, 0.7)",1.0359969173692465,1.5997312236563874,1.2646509135728525
content_based,9.0,"(0.0, 0.3, 0.7)",1.038587828033562,1.5962768093818145,1.2632373391221425
