condition_id;user_id;reco_type;interaction;rank;product_id;product_name;nutri_score;nutri_score_numeric;mean_nutri_top5
1;563e35190980220011572d9a;content_based_unbiased;1;1;470;Shrimp with loaded fries & vegetables;D;2;2.0
1;563e35190980220011572d9a;content_based_unbiased;1;2;238;Shrimp tempura with pasta, celery, bell peppers & leeks;B;4;2.0
1;563e35190980220011572d9a;content_based_unbiased;1;3;578;Shrimp tempura over butter rice;E;1;2.0
1;563e35190980220011572d9a;content_based_unbiased;1;4;380;Grilled Shrimp tempura bowl with squash;D;2;2.0
1;563e35190980220011572d9a;content_based_unbiased;1;5;563;Shrimp tempura with fried rice and squash;E;1;2.0
1;563e35190980220011572d9a;multistakeholder;1;1;470;Shrimp with loaded fries & vegetables;D;2;2.0
1;563e35190980220011572d9a;multistakeholder;1;2;238;Shrimp tempura with pasta, celery, bell peppers & leeks;B;4;2.0
1;563e35190980220011572d9a;multistakeholder;1;3;578;Shrimp tempura over butter rice;E;1;2.0
1;563e35190980220011572d9a;multistakeholder;1;4;380;Grilled Shrimp tempura bowl with squash;D;2;2.0
1;563e35190980220011572d9a;multistakeholder;1;5;563;Shrimp tempura with fried rice and squash;E;1;2.0
1;563e35190980220011572d9a;content_based_unbiased;2;1;340;Tangy Shrimp tempura over butter rice;C;3;2.8
1;563e35190980220011572d9a;content_based_unbiased;2;2;339;Shrimp tempura with loaded fries, mushrooms, bell peppers & broccoli;C;3;2.8
1;563e35190980220011572d9a;content_based_unbiased;2;3;209;Shrimp udon noodles plate with asparagus;B;4;2.8
1;563e35190980220011572d9a;content_based_unbiased;2;4;510;Shrimp and zucchini cheesy potatoes mix;E;1;2.8
1;563e35190980220011572d9a;content_based_unbiased;2;5;309;Calamari in tahini sauce over udon noodles;C;3;2.8
1;563e35190980220011572d9a;content_based_unbiased;3;1;320;Shrimp tempura with couscous and bell peppers;C;3;2.6
1;563e35190980220011572d9a;content_based_unbiased;3;2;262;Calamari with potatoes, carrots & broccoli;C;3;2.6
1;563e35190980220011572d9a;content_based_unbiased;3;3;545;Buttery Calamari over fried rice;E;1;2.6
1;563e35190980220011572d9a;content_based_unbiased;3;4;378;Crispy Shrimp over creamy pasta;D;2;2.6
1;563e35190980220011572d9a;content_based_unbiased;3;5;177;Calamari over bulgur;B;4;2.6
1;5693f7d3e0c800000b59669f;content_based_unbiased;1;1;264;Beef with fried rice and cauliflower;C;3;2.8
1;5693f7d3e0c800000b59669f;content_based_unbiased;1;2;458;Cheesy beef bowl ;D;2;2.8
1;5693f7d3e0c800000b59669f;content_based_unbiased;1;3;330;Tangy Pork belly over brown rice;C;3;2.8
1;5693f7d3e0c800000b59669f;content_based_unbiased;1;4;338;Steak strips with garlic butter noodles, asparagus, bell peppers & peas;C;3;2.8
1;5693f7d3e0c800000b59669f;content_based_unbiased;1;5;350;Bbq ribs in basil sauce over butter rice;C;3;2.8
1;5693f7d3e0c800000b59669f;multistakeholder;1;1;264;Beef with fried rice and cauliflower;C;3;2.8
1;5693f7d3e0c800000b59669f;multistakeholder;1;2;458;Cheesy beef bowl ;D;2;2.8
1;5693f7d3e0c800000b59669f;multistakeholder;1;3;330;Tangy Pork belly over brown rice;C;3;2.8
1;5693f7d3e0c800000b59669f;multistakeholder;1;4;338;Steak strips with garlic butter noodles, asparagus, bell peppers & peas;C;3;2.8
1;5693f7d3e0c800000b59669f;multistakeholder;1;5;350;Bbq ribs in basil sauce over butter rice;C;3;2.8
1;5693f7d3e0c800000b59669f;content_based_unbiased;2;1;464;Crispy Beef over butter rice;D;2;2.2
1;5693f7d3e0c800000b59669f;content_based_unbiased;2;2;450;Veal with butter rice, spinach & fried eggplant;D;2;2.2
1;5693f7d3e0c800000b59669f;content_based_unbiased;2;3;270;Lamb in pesto over polenta;C;3;2.2
1;5693f7d3e0c800000b59669f;content_based_unbiased;2;4;541;Beef and buttered corn butter rice mix;E;1;2.2
1;5693f7d3e0c800000b59669f;content_based_unbiased;2;5;343;Pork belly with wild rice, caramelized onions, peas & broccoli;C;3;2.2
1;5693f7d3e0c800000b59669f;content_based_unbiased;3;1;283;Sausage with cheesy potatoes, carrots, roasted garlic & beetroot;C;3;2.0
