login,recommendations
10492,"23,18,11,90,86"
10701,"142,124,259,143,79"
10713,"7,90,95,98,100"
11002,"226,237,251,222,223"
11838,"127,140,303,6,28"
12408,"173,179,178,170,157"
13233,"6,10,13,14,15"
13264,"192,204,247,216,203"
13384,"226,237,222,224,227"
13485,"22,21,23,127,140"
13629,"100,93,106,92,259"
13829,"163,198,202,214,216"
13916,"12,69,3,27,15"
13993,"138,141,6,10,13"
14264,"21,23,10,9,17"
14294,"83,251,244,257,258"
14521,"191,195,220,259,83"
14956,"2,29,78,124,134"
15518,"66,273,124,170,125"
16151,"134,141,139,160,145"
16386,"2,26,29,25,218"
16704,"155,66,152,161,206"
16933,"226,237,246,222,223"
16947,"23,13,10,7,9"
17842,"189,163,221,197,124"
18291,"141,123,135,139,223"
18768,"189,197,200,198,83"
18825,"222,232,254,224,227"
19858,"14,2,10,13,9"
20067,"143,142,138,130,163"
20104,"6,9,10,13,14"
20170,"2,7,31,124,134"
20309,"161,170,178,183,179"
20895,"230,240,232,236,223"
21248,"25,1,14,2,21"
21960,"245,246,207,260,236"
22785,"36,60,65,71,77"
22913,"244,305,297,83,109"
23226,"33,15,6,25,1"
23228,"179,184,178,183,186"
23489,"168,6,124,173,143"
23645,"6,143,2,28,26"
23782,"142,143,6,138,127"
23981,"142,143,23,15,33"
24038,"215,189,204,210,211"
24894,"260,163,247,223,134"
25170,"223,230,233,239,240"
25582,"7,31,124,3,6"
25736,"22,21,10,9,17"
25978,"168,177,153,186,69"
26030,"2,7,29,90,124"
26056,"158,251,109,117,121"
26718,"91,119,105,117,99"
26911,"138,167,139,141,130"
26957,"246,273,245,134,22"
27025,"253,254,224,256,235"
27155,"28,33,15,3,12"
27651,"69,68,72,70,168"
28201,"10,21,22,13,9"
28394,"142,143,15,33,23"
28635,"29,259,253,250,225"
28973,"14,6,2,10,13"
29216,"165,158,112,121,109"
29503,"122,86,99,103,107"
29802,"246,245,247,230,240"
30076,"305,270,268,265,275"
30265,"11,143,151,283,22"
30526,"305,297,285,304,301"
30965,"178,179,117,157,199"
31784,"244,83,69,68,72"
32019,"135,133,28,152,155"
32229,"201,109,91,119,112"
32252,"2,7,29,31,90"
32368,"143,142,6,15,33"
33121,"39,65,77,78,83"
33424,"3,273,283,12,275"
33540,"124,181,150,129,175"
33812,"142,143,127,260,230"
33833,"226,237,246,222,224"
34306,"230,240,232,236,223"
34353,"37,54,63,50,75"
34459,"124,169,173,185,172"
34694,"124,254,29,224,266"
35753,"250,225,23,262,237"
35857,"236,260,261,239,243"
36596,"261,42,41,78,79"
36933,"201,109,150,175,181"
37057,"226,237,222,224,227"
37386,"12,34,35,21,91"
37494,"36,39,60,65,71"
37597,"63,56,52,61,75"
38738,"6,33,14,15,28"
38983,"33,243,251,246,15"
39709,"31,91,95,98,100"
40145,"189,193,191,195,198"
40665,"21,143,23,10,9"
41135,"143,44,142,156,130"
41174,"138,127,139,141,167"
41367,"1,25,29,259,8"
41437,"218,266,189,23,198"
42057,"117,108,140,189,303"
42476,"161,16,14,147,24"
42554,"25,1,14,2,21"
43197,"2,7,124,134,138"
43352,"36,39,60,65,71"
43854,"7,90,91,95,98"
44685,"142,218,199,127,140"
44849,"138,141,189,123,127"
45055,"282,275,265,268,159"
45566,"173,186,172,131,169"
45586,"142,164,123,138,132"
46010,"36,60,65,71,77"
46060,"24,173,26,28,130"
46203,"245,163,131,246,207"
47198,"215,83,189,210,211"
47471,"254,237,225,250,226"
47476,"2,29,161,218,6"
47502,"215,91,95,98,100"
47589,"226,237,66,222,224"
47750,"266,278,189,218,207"
47791,"145,167,117,160,108"
47951,"91,95,98,100,119"
48368,"91,95,98,100,119"
48793,"1,8,25,34,16"
49041,"226,237,246,222,224"
49082,"114,88,94,100,108"
49253,"164,142,163,138,130"
49373,"254,237,226,225,224"
49663,"165,85,88,89,92"
50101,"85,88,89,92,93"
50628,"231,228,6,242,282"
50667,"33,15,25,1,142"
50808,"246,245,222,233,42"
50847,"101,102,70,73,71"
50872,"189,218,197,133,131"
51127,"21,10,9,17,14"
51455,"26,207,121,69,176"
52392,"104,85,116,89,98"
52598,"18,99,115,86,105"
52608,"114,305,86,163,246"
53164,"176,124,178,183,179"
53779,"138,141,172,189,204"
53830,"127,143,23,108,134"
54558,"6,23,28,33,7"
55077,"178,179,164,161,157"
55861,"124,184,183,170,176"
56532,"124,170,140,129,161"
56789,"114,85,115,109,104"
56865,"6,23,22,14,10"
56867,"178,179,124,169,173"
56908,"189,125,206,198,212"
57056,"138,68,72,70,69"
57202,"86,163,115,85,116"
57539,"91,95,98,100,119"
57795,"134,139,141,160,145"
57981,"90,109,114,123,124"
58092,"44,45,46,47,68"
58149,"23,7,22,283,11"
59492,"90,91,95,98,100"
59678,"8,130,15,28,33"
59705,"226,237,251,222,223"
60226,"244,83,285,9,10"
60343,"178,179,177,142,176"
60474,"207,218,259,199,189"
60584,"23,18,10,7,21"
60928,"143,22,6,23,21"
60968,"178,179,177,228,176"
61018,"218,214,266,202,199"
61401,"71,45,46,47,73"
61801,"39,65,77,78,226"
62033,"2,218,6,191,194"
62041,"226,237,222,224,227"
62401,"39,65,77,78,38"
62596,"161,170,260,232,254"
62811,"238,233,236,240,239"
63045,"95,98,100,138,189"
63258,"127,171,134,160,174"
63352,"163,130,123,132,24"
63435,"173,178,179,176,186"
63863,"7,218,23,199,221"
64064,"138,124,134,179,178"
64558,"95,98,100,102,122"
64575,"202,205,203,208,194"
64958,"244,254,237,226,224"
65802,"189,218,127,199,140"
65857,"164,163,259,256,86"
66059,"189,193,108,191,194"
67407,"83,259,42,41,79"
67434,"60,134,138,141,150"
67569,"226,237,246,222,224"
68459,"42,41,79,43,80"
68541,"36,39,65,77,78"
69013,"19,250,225,253,112"
69023,"123,160,132,153,177"
69689,"127,117,35,33,119"
69914,"138,161,142,143,157"
69959,"48,37,36,51,70"
70192,"107,101,110,122,105"
70701,"234,244,189,248,228"
70811,"66,247,286,289,282"
71028,"156,165,132,163,158"
71345,"143,253,6,23,33"
71503,"68,72,24,28,60"
71883,"173,164,123,132,149"
72432,"151,100,94,88,118"
72723,"90,91,95,98,100"
72769,"143,164,6,270,285"
72795,"273,302,267,286,288"
73277,"140,115,93,92,119"
73329,"152,155,91,107,174"
73508,"6,10,13,14,15"
73614,"138,142,143,130,6"
74315,"215,2,29,71,124"
74743,"2,6,143,25,33"
74806,"207,198,216,163,212"
74883,"134,161,179,130,151"
75388,"23,140,13,10,9"
75516,"253,19,23,256,250"
75754,"283,290,289,22,143"
75893,"138,189,191,195,198"
76299,"164,173,130,134,143"
76407,"260,207,222,232,254"
76468,"95,98,100,102,122"
77300,"22,11,21,10,7"
77317,"21,23,10,22,2"
77446,"235,207,273,259,296"
77470,"138,142,173,139,141"
78111,"18,22,153,177,283"
78423,"289,281,290,288,286"
78801,"8,16,12,21,25"
78886,"29,158,24,165,199"
79105,"91,119,122,134,141"
79149,"142,143,257,258,127"
79547,"1,15,25,127,142"
80225,"226,237,222,224,227"
80563,"39,65,77,78,134"
80835,"138,124,142,163,127"
81249,"149,172,145,169,185"
81633,"124,125,129,173,169"
81708,"143,260,222,232,127"
81856,"150,171,174,153,168"
82142,"153,177,169,228,176"
82813,"131,86,147,190,163"
83950,"142,143,22,283,102"
84234,"15,33,142,12,27"
84555,"1,25,34,35,12"
84951,"31,283,34,68,72"
85007,"2,7,29,31,138"
85211,"259,222,42,41,79"
85510,"167,133,131,159,141"
85865,"13,10,23,9,17"
86015,"265,269,275,270,272"
86274,"108,121,189,262,19"
87050,"69,60,70,68,72"
87181,"23,22,10,6,14"
87388,"244,83,259,247,69"
87408,"198,189,212,216,191"
87586,"39,53,66,248,63"
88031,"121,142,143,112,122"
88204,"2,6,25,143,33"
88626,"259,254,225,224,226"
88836,"260,222,232,254,227"
89259,"7,10,13,14,16"
89511,"184,66,183,63,56"
89646,"189,199,218,197,140"
90071,"189,197,178,179,101"
90173,"23,143,6,45,10"
90207,"215,2,7,29,31"
90996,"114,60,108,109,26"
91067,"248,184,161,253,155"
91408,"2,7,31,190,218"
91519,"99,103,105,107,108"
92588,"153,177,143,168,31"
92590,"90,143,6,151,11"
92595,"21,9,17,10,14"
93347,"259,222,232,254,224"
93371,"143,2,164,6,130"
93565,"127,140,117,108,142"
94658,"131,133,172,149,162"
94780,"198,202,216,212,220"
95089,"189,205,192,203,208"
95384,"248,168,251,231,242"
95408,"164,161,157,86,152"
95683,"102,68,72,70,73"
95697,"130,138,15,28,33"
96195,"235,78,216,212,204"
96457,"143,29,12,25,253"
97115,"223,230,239,240,236"
97231,"134,179,3,6,10"
97671,"226,237,246,222,224"
98219,"134,138,141,150,161"
98230,"6,143,31,2,142"
98278,"173,168,124,69,207"
98805,"44,83,42,41,79"
98809,"6,68,72,143,243"
99055,"130,138,142,164,24"
99085,"2,190,218,1,6"
99160,"127,21,23,10,175"
99167,"215,2,29,36,60"
99307,"168,156,106,116,91"
99338,"215,2,7,29,36"
99436,"95,98,100,102,122"
