user_id,condition_id,n_interactions,error_bin,error_continuous,bias_target,bias_observed,signed_error
53a18b8ffdf99b79ca51df6e,1,1,0.0,0.0,1.4,1.4,0.0
5578b513fdf99b12e00afae9,1,1,0.0,0.0,3.0,3.0,0.0
57e508cec3e5930001447391,1,1,0.0,0.0,3.0,3.0,0.0
5980f157413c230001291b22,1,1,0.0,0.0,1.6,1.6,0.0
59d3ef2c078dbe000195117f,1,1,0.0,0.0,1.0,1.0,0.0
5a62653a63394a000155489f,1,1,0.0,0.0,3.0,3.0,0.0
5bb756696322c5000159756c,1,1,0.0,0.0,1.6,1.6,0.0
5be373e07e3c9b0001c4d434,1,1,0.0,0.0,3.0,3.0,0.0
5bf077098500d800010a99e0,1,1,0.0,0.0,3.0,3.0,0.0
5c7ed8dfe82bf100010fb514,1,1,0.0,0.0,3.0,3.0,0.0
5c81582c4c1a61000155584f,1,1,0.0,0.0,3.0,3.0,0.0
5d70dd0b28805f001aaf9a94,1,1,0.0,0.0,2.2,2.2,0.0
5e40135348b18c000c5d6a61,1,1,0.0,0.0,3.0,3.0,0.0
5e90a3adb3e1243bdcfaf973,1,1,0.0,0.0,2.2,2.2,0.0
5ea04f7f43bc6507508c9aba,1,1,0.0,0.0,1.0,1.0,0.0
5eeb2b8a36774c27657f227c,1,1,0.0,0.0,3.0,3.0,0.0
5ef3bdbee9ae7a16241451c1,1,1,0.0,0.0,3.0,3.0,0.0
60550a71aee87e2f54a9062a,1,1,0.0,0.0,2.6,2.6,0.0
60d88215cb2f2655d0e4c663,1,1,0.0,0.0,3.0,3.0,0.0
60fd15ec8a18873ac07d0b16,1,1,0.0,0.0,1.4,1.4,0.0
610c5b0a0f713891f0d5af7f,1,1,0.0,0.0,1.0,1.0,0.0
61364d250433ee40764f71b4,1,1,0.0,0.0,3.0,3.0,0.0
62a338fe5f31e62c27dc5e66,1,1,0.0,0.0,2.8,2.8,0.0
62d6d77df59450e545fb22f6,1,1,0.0,0.0,2.6,2.6,0.0
63d40b07bb1c70df419c127b,1,1,0.0,0.0,1.2,1.2,0.0
63e61d24e1c77b4b584e879f,1,1,0.0,0.0,2.2,2.2,0.0
654e37a130d94b47675dcebe,1,1,0.0,0.0,3.2,3.2,0.0
6598124cb009a156ae665edf,1,1,0.0,0.0,1.0,1.0,0.0
664a5be05bc29332beb2fced,1,1,0.0,0.0,1.4,1.4,0.0
66549ec8602668f8621b79bf,1,1,0.0,0.0,1.6,1.6,0.0
6658c5cc20f33b713aa2592d,1,1,0.0,0.0,2.0,2.0,0.0
6659c64e90a02f94c92e944d,1,1,0.0,0.0,2.0,2.0,0.0
67229e0529249d25d00b1a87,1,1,0.0,0.0,2.4,2.4,0.0
673a894b553d8c3fb9061274,1,1,0.0,0.0,2.6,2.6,0.0
6762b799aeec55fad952b0a7,1,1,0.0,0.0,3.2,3.2,0.0
6763dc05af46629317e23da3,1,1,0.0,0.0,2.8,2.8,0.0
67769375527d252db09e7d60,1,1,0.0,0.0,3.0,3.0,0.0
678f891d24aaca1f40d5cb0e,1,1,0.0,0.0,3.0,3.0,0.0
56a8059fc897370006237090,1,1,0.2,0.19999999999999996,1.8,1.6,-0.19999999999999996
57b8e70f35624400013d690c,1,1,0.2,0.19999999999999996,2.0,1.8,-0.19999999999999996
594dd3de0dd7710001aeb5e9,1,1,0.2,0.20000000000000018,2.2,2.0,-0.20000000000000018
5e3ddcf95556b204cb143eab,1,1,0.2,0.20000000000000018,2.2,2.0,-0.20000000000000018
616829767ddec9e42886501d,1,1,0.2,0.19999999999999996,1.8,1.6,-0.19999999999999996
65a3ec0d50e146d8bd324e1f,1,1,0.2,0.20000000000000018,3.2,3.0,-0.20000000000000018
65b7d02c9a08f9578ac23ae1,1,1,0.2,0.20000000000000018,3.0,2.8,-0.20000000000000018
6658c1554c1d2a4e2d02e301,1,1,0.2,0.20000000000000018,3.0,2.8,-0.20000000000000018
56aa2ab9402d62000c7096f2,1,1,0.4,0.40000000000000013,2.2,1.8,-0.40000000000000013
5fd5ef3cb8ec2745c10454e3,1,1,0.4,0.3999999999999999,3.0,2.6,-0.3999999999999999
5ff454f2f0b5ed607169fba6,1,1,0.4,0.3999999999999999,2.6,2.2,-0.3999999999999999
6357a92c14a05d21ebdd897f,1,1,0.4,0.40000000000000036,3.2,2.8,-0.40000000000000036
6659f66a90c067aa84c591c0,1,1,0.4,0.3999999999999999,2.4,2.0,-0.3999999999999999
665cffa294d28913423afcfd,1,1,0.4,0.3999999999999999,1.4,1.0,-0.3999999999999999
665f117be1c0d33d87759252,1,1,0.4,0.40000000000000013,1.8,1.4,-0.40000000000000013
66854d3cdf2b51b07603129f,1,1,0.4,0.3999999999999999,2.8,2.4,-0.3999999999999999
5aae93f5fb22320001baaaac,1,1,0.6000000000000001,0.6000000000000001,3.2,2.6,-0.6000000000000001
606b2abba471886de1727491,1,1,0.6000000000000001,0.6000000000000001,2.2,1.6,-0.6000000000000001
629f43da9f4c51d00f73b266,1,1,0.6000000000000001,0.6000000000000001,3.2,2.6,-0.6000000000000001
6712c4178dc857f9a720852b,1,1,0.6000000000000001,0.6000000000000001,3.0,2.4,-0.6000000000000001
60455b1578f6f36a3e8ea81c,1,1,0.8,0.8,2.0,1.2,-0.8
60a685775202707aafbc37a9,1,1,1.0,1.0,2.4,1.4,-1.0
5478e52cfdf99b5322cf7f7b,7,3,0.0,0.033333333333333215,3.9,3.8666666666666667,-0.033333333333333215
56a7da16c89737000b22953c,7,3,0.0,0.033333333333333215,3.1,3.1333333333333333,0.033333333333333215
571b728d5d40840011c3d9df,7,3,0.0,0.033333333333333215,4.5,4.533333333333333,0.033333333333333215
59aee22a7f6c84000151bd99,7,3,0.0,0.03333333333333277,3.3,3.266666666666667,-0.03333333333333277
5bb775b0f1f9ba000140e7b3,7,3,0.0,0.033333333333333215,3.9,3.8666666666666667,-0.033333333333333215
5c18d9a3efc84e0001fe4aee,7,3,0.0,0.033333333333333215,4.5,4.533333333333333,0.033333333333333215
5c35fd4c7ab36100015c096e,7,3,0.0,0.033333333333333215,4.3,4.266666666666667,-0.033333333333333215
5c5898e49fcbc40001dcbc42,7,3,0.0,0.03333333333333277,3.3,3.266666666666667,-0.03333333333333277
5c643f1140c2610001424b7f,7,3,0.0,0.033333333333333215,4.5,4.466666666666667,-0.033333333333333215
5c82cc7d1a68de0016d651d3,7,3,0.0,0.033333333333333215,3.1,3.1333333333333333,0.033333333333333215
5dee48a67309b94df13ddbce,7,3,0.0,0.03333333333333277,3.3,3.266666666666667,-0.03333333333333277
5e4d6ef119281d06266ebf0e,7,3,0.0,0.03333333333333366,2.7,2.6666666666666665,-0.03333333333333366
5e8605568be6ea1ffc220617,7,3,0.0,0.033333333333333215,3.5,3.533333333333333,0.033333333333333215
5ea057b821f4e400081b71a7,7,3,0.0,0.03333333333333277,3.3,3.266666666666667,-0.03333333333333277
5eefd6b37da4d24c8af3bcbc,7,3,0.0,0.03333333333333277,2.7,2.733333333333333,0.03333333333333277
5f3fbbb2edd4d20456a952a4,7,3,0.0,0.03333333333333366,3.7,3.6666666666666665,-0.03333333333333366
5f48068ea08b2128ce23a268,7,3,0.0,0.03333333333333277,3.3,3.266666666666667,-0.03333333333333277
602267734fb769351a2b1a2e,7,3,0.0,0.03333333333333277,3.3,3.266666666666667,-0.03333333333333277
60b3950b9a1de417d37bb8d2,7,3,0.0,0.033333333333333215,4.1,4.133333333333333,0.033333333333333215
62b44b9958864d679bdb2c20,7,3,0.0,0.033333333333333215,2.9,2.8666666666666667,-0.033333333333333215
62b5edc0f30897b95f76308b,7,3,0.0,0.0333333333333341,4.1,4.133333333333334,0.0333333333333341
65b9a002909e6b9bd3520066,7,3,0.0,0.033333333333333215,4.1,4.066666666666666,-0.033333333333333215
6682ac2ae129d7f95e4dace7,7,3,0.0,0.033333333333333215,3.5,3.466666666666667,-0.033333333333333215
668aa0851622bf0930ff12fc,7,3,0.0,0.033333333333333215,4.5,4.533333333333333,0.033333333333333215
66956ab371a84d32198ee4f1,7,3,0.0,0.0333333333333341,4.3,4.333333333333334,0.0333333333333341
67139698ab79b82f8afd1e93,7,3,0.0,0.033333333333333215,4.5,4.466666666666667,-0.033333333333333215
671d3690dc5df6d004cfb65e,7,3,0.0,0.033333333333333215,3.5,3.466666666666667,-0.033333333333333215
6778488c18ed28950c7012ae,7,3,0.0,0.033333333333333215,4.5,4.533333333333333,0.033333333333333215
67d7598ad9aacf9073ca130d,7,3,0.0,0.033333333333333215,3.5,3.533333333333333,0.033333333333333215
563e35190980220011572d9a,7,3,0.1,0.10000000000000053,4.3,4.4,0.10000000000000053
59775e3831c84f0001d977b7,7,3,0.1,0.10000000000000009,3.3,3.1999999999999997,-0.10000000000000009
5b4b679dff74970001256d36,7,3,0.1,0.09999999999999964,4.5,4.6,0.09999999999999964
5cadbee8470c560001de5739,7,3,0.1,0.10000000000000053,3.9,3.7999999999999994,-0.10000000000000053
5cfbef1b50597d0001e8f11e,7,3,0.1,0.09999999999999964,4.5,4.6,0.09999999999999964
5d594f3e2e883a00165a0e66,7,3,0.1,0.09999999999999964,4.5,4.6,0.09999999999999964
5e4feb8037713502e9ed364b,7,3,0.1,0.09999999999999964,3.5,3.4000000000000004,-0.09999999999999964
5e89ec793c01b3685a00bb12,7,3,0.1,0.09999999999999964,3.9,3.8000000000000003,-0.09999999999999964
5eb9499bcbc2140180e31037,7,3,0.1,0.10000000000000009,3.5,3.4,-0.10000000000000009
5f035c7ce9d86254e87992e4,7,3,0.1,0.09999999999999964,4.5,4.6,0.09999999999999964
5f0d89b9547a8403103a0372,7,3,0.1,0.09999999999999964,4.5,4.6,0.09999999999999964
60211a7c07e6f203ccb99231,7,3,0.1,0.09999999999999964,4.7,4.8,0.09999999999999964
60cdfbb9a511a64dd42feb36,7,3,0.1,0.10000000000000009,3.5,3.6,0.10000000000000009
60fb51c7493e3f8a4c82833b,7,3,0.1,0.09999999999999964,4.5,4.4,-0.09999999999999964
63a0ba2b090476e91839f62e,7,3,0.1,0.0999999999999992,3.7,3.7999999999999994,0.0999999999999992
65a3f40245bd7a121b03eb92,7,3,0.1,0.09999999999999964,4.7,4.8,0.09999999999999964
65c8d70512b2fc050e53d0d1,7,3,0.1,0.09999999999999964,4.7,4.8,0.09999999999999964
66636514bc4749ad83a2adc8,7,3,0.1,0.09999999999999964,4.5,4.4,-0.09999999999999964
66757a272d91a2571991681e,7,3,0.1,0.10000000000000009,3.3,3.4,0.10000000000000009
66a3e355362c7697f4d44d46,7,3,0.1,0.10000000000000053,3.1,3.2000000000000006,0.10000000000000053
6717a695635ae7f7518a1ad4,7,3,0.1,0.10000000000000009,3.5,3.4,-0.10000000000000009
67389edcd0ce05cea7aec26e,7,3,0.1,0.0999999999999992,3.3,3.2000000000000006,-0.0999999999999992
6773ddcd48e01d9519ede71e,7,3,0.1,0.10000000000000009,3.1,3.0,-0.10000000000000009
67d0647157996203f3da1743,7,3,0.1,0.09999999999999964,4.5,4.6,0.09999999999999964
597c6cdf21db3a0001418541,7,3,0.2,0.16666666666666696,3.1,3.266666666666667,0.16666666666666696
5df09202dd9e590da28d64b3,7,3,0.2,0.16666666666666652,3.3,3.1333333333333333,-0.16666666666666652
5f16dc8d4d2df4000a6a4fd9,7,3,0.2,0.16666666666666696,3.3,3.466666666666667,0.16666666666666696
62eae330e31dcc26183e2987,7,3,0.2,0.16666666666666696,4.3,4.466666666666667,0.16666666666666696
6761e75cf22f2b17fc157335,7,3,0.2,0.16666666666666652,3.7,3.8666666666666667,0.16666666666666652
6779432466bae4912f58dd58,7,3,0.30000000000000004,0.2999999999999998,4.1,4.3999999999999995,0.2999999999999998
54b60d74fdf99b1ce0367ab5,5,3,0.1,0.06666666666666643,3.0,2.9333333333333336,-0.06666666666666643
55ac3198fdf99b6de3b68b23,5,3,0.1,0.1333333333333333,1.8,1.6666666666666667,-0.1333333333333333
5d3b561f161b8c0001524379,5,3,0.1,0.13333333333333375,3.2,3.0666666666666664,-0.13333333333333375
5e9fd8c26fae5918240e617e,5,3,0.1,0.1333333333333333,3.0,2.8666666666666667,-0.1333333333333333
5eaecb0824839e59ed3523eb,5,3,0.1,0.1333333333333333,2.8,2.6666666666666665,-0.1333333333333333
61096ec7e47204510ccb187b,5,3,0.1,0.1333333333333333,1.8,1.6666666666666667,-0.1333333333333333
636cc5fa559ec4d93e272972,5,3,0.1,0.06666666666666643,2.4,2.3333333333333335,-0.06666666666666643
6571fd9d691befe21fa61d18,5,3,0.1,0.1333333333333333,1.2,1.0666666666666667,-0.1333333333333333
665c955224ed3dc01981b68d,5,3,0.1,0.1333333333333333,2.6,2.466666666666667,-0.1333333333333333
66671bd9ed3bd4d2d0cdacad,5,3,0.1,0.1333333333333333,2.8,2.6666666666666665,-0.1333333333333333
6699a13ee8a051062a3f57f4,5,3,0.1,0.06666666666666643,3.0,2.9333333333333336,-0.06666666666666643
66d052f4b151dee92521d54d,5,3,0.1,0.06666666666666687,1.6,1.5333333333333332,-0.06666666666666687
66fd75a114eba53c2f24a190,5,3,0.1,0.1333333333333333,2.4,2.2666666666666666,-0.1333333333333333
670d2513894d1c633eeb11a6,5,3,0.1,0.1333333333333333,1.6,1.4666666666666668,-0.1333333333333333
57fde8979c39b3000179e347,5,3,0.30000000000000004,0.26666666666666705,3.0,2.733333333333333,-0.26666666666666705
58fa36995214e3000193281c,5,3,0.30000000000000004,0.26666666666666616,2.8,2.5333333333333337,-0.26666666666666616
5ae96d1878b0060001e69b8a,5,3,0.30000000000000004,0.2666666666666666,2.6,2.3333333333333335,-0.2666666666666666
5af6e439672ea800010d4e92,5,3,0.30000000000000004,0.33333333333333326,2.0,1.6666666666666667,-0.33333333333333326
5bd1f39314315c0001cf917a,5,3,0.30000000000000004,0.2666666666666666,2.4,2.1333333333333333,-0.2666666666666666
5c0430c71a20110001e9b05a,5,3,0.30000000000000004,0.3333333333333335,1.8,1.4666666666666666,-0.3333333333333335
5cf6ee10d5478e0001da72bd,5,3,0.30000000000000004,0.26666666666666705,3.0,2.733333333333333,-0.26666666666666705
5d3c480f2dc7f70001f00c87,5,3,0.30000000000000004,0.26666666666666683,1.6,1.3333333333333333,-0.26666666666666683
5ec310cde88df1155e32bba6,5,3,0.30000000000000004,0.26666666666666683,1.8,1.5333333333333332,-0.26666666666666683
5f01ce19f3984631df5348e4,5,3,0.30000000000000004,0.2666666666666666,2.6,2.3333333333333335,-0.2666666666666666
63d447dff5d5b197f0d02275,5,3,0.30000000000000004,0.2666666666666666,2.6,2.3333333333333335,-0.2666666666666666
63ed0392b8b24c34aaf26310,5,3,0.30000000000000004,0.2666666666666666,2.8,2.533333333333333,-0.2666666666666666
65bd88a029ae8413e1281c7b,5,3,0.30000000000000004,0.2666666666666666,2.4,2.1333333333333333,-0.2666666666666666
6679f0648b065bdab20a6d7a,5,3,0.30000000000000004,0.2666666666666666,2.6,2.3333333333333335,-0.2666666666666666
669a80310e64395f4edd70b6,5,3,0.30000000000000004,0.33333333333333326,2.2,1.866666666666667,-0.33333333333333326
66b732e2824f3862c1739187,5,3,0.30000000000000004,0.26666666666666683,1.6,1.3333333333333333,-0.26666666666666683
67529d0aecb73bfe140d521f,5,3,0.30000000000000004,0.2666666666666666,2.6,2.3333333333333335,-0.2666666666666666
67605711ffc3fd0949d0e763,5,3,0.30000000000000004,0.2666666666666666,2.8,2.533333333333333,-0.2666666666666666
6777c88074566bdef374f9e5,5,3,0.30000000000000004,0.3333333333333335,1.6,1.2666666666666666,-0.3333333333333335
5bad16bfd0e97100013f49ad,5,3,0.0,0.0,2.0,2.0,0.0
5f5899136db0c00116d2c9a5,5,3,0.0,0.0,3.0,3.0,0.0
6053e01a6a8e8516ba7d47a7,5,3,0.0,0.0,3.0,3.0,0.0
62c8391cd913ab9b5317d5f9,5,3,0.0,0.0,3.0,3.0,0.0
646b8ccb7cf1ebd3ca8fdc86,5,3,0.0,0.0,1.0,1.0,0.0
665a16dd2db5a0dff976ea9b,5,3,0.0,0.0,3.0,3.0,0.0
673f89521043f3a67a17c462,5,3,0.0,0.0,1.0,1.0,0.0
5c8b065abd96ce0001947d1b,5,3,0.9,0.8666666666666667,3.2,2.3333333333333335,-0.8666666666666667
5d352f8bb02857001963539a,5,3,0.2,0.19999999999999973,2.8,2.6,-0.19999999999999973
5dee651e58776a51569d31f3,5,3,0.2,0.2000000000000004,1.6,1.3999999999999997,-0.2000000000000004
5e12202adc79bd8a6c74499b,5,3,0.2,0.20000000000000018,2.2,2.0,-0.20000000000000018
613dd5fb512aabe8d5d32393,5,3,0.2,0.19999999999999996,2.0,1.8,-0.19999999999999996
62aa591a476ebabe28612a92,5,3,0.2,0.20000000000000018,1.8,1.5999999999999999,-0.20000000000000018
6315fd72852e279a1a13e5f1,5,3,0.2,0.19999999999999973,3.0,2.8000000000000003,-0.19999999999999973
644805884189b40893adfa53,5,3,0.2,0.19999999999999973,3.0,2.8000000000000003,-0.19999999999999973
6668621f3facbbc4d81945ce,5,3,0.2,0.19999999999999973,2.8,2.6,-0.19999999999999973
66b507cc1a7e164991afbe17,5,3,0.2,0.20000000000000018,2.6,2.4,-0.20000000000000018
66ba0c9b81da2bf8b7d87021,5,3,0.2,0.19999999999999973,2.6,2.4000000000000004,-0.19999999999999973
672946ef8187e4253c5ff800,5,3,0.2,0.19999999999999973,3.0,2.8000000000000003,-0.19999999999999973
6764260cc5b6436f25820b52,5,3,0.2,0.19999999999999973,1.8,1.6000000000000003,-0.19999999999999973
68a5eefd236f1c08d08ffce6,5,3,0.2,0.19999999999999973,2.4,2.2,-0.19999999999999973
5f1833a16e55c522eeaf4dbe,5,3,0.4,0.40000000000000013,1.6,1.2,-0.40000000000000013
62fbe4c86d484357b6adbc36,5,3,0.4,0.40000000000000013,2.2,1.8,-0.40000000000000013
66951ebc9808bc1646dff6d9,5,3,0.4,0.40000000000000013,2.0,1.5999999999999999,-0.40000000000000013
663127d07fb81f5532bcfdad,5,3,0.7000000000000001,0.6666666666666665,2.8,2.1333333333333333,-0.6666666666666665
6658b1491e88ec15902d5301,5,3,0.5,0.5333333333333332,2.6,2.066666666666667,-0.5333333333333332
